proc-vmstat.nr_writeback,3
proc-vmstat.nr_shmem,2625
proc-vmstat.nr_dirtied,473551
proc-vmstat.nr_written,473327
proc-vmstat.nr_dirty_threshold,746534
proc-vmstat.nr_dirty_background_threshold,372810
proc-vmstat.pgpgin,2412
proc-vmstat.pgpgout,3230256
proc-vmstat.pgalloc_dma,0
proc-vmstat.pgalloc_dma32,0
proc-vmstat.pgalloc_normal,669173
proc-vmstat.pgfree,535762
proc-vmstat.pgactivate,72
proc-vmstat.pgdeactivate,0
proc-vmstat.pgfault,365229
proc-vmstat.pgmajfault,0
proc-vmstat.pgrotated,57
proc-vmstat.unevictable_pgs_culled,0
proc-vmstat.unevictable_pgs_rescued,0
proc-vmstat.unevictable_pgs_mlocked,0
proc-vmstat.unevictable_pgs_munlocked,0
slabinfo.rpc_inode_cache.active_objs,25
slabinfo.rpc_inode_cache.num_objs,25
slabinfo.rpc_inode_cache.active_slabs,1
slabinfo.rpc_inode_cache.num_slabs,1
slabinfo.ext4_groupinfo_4k.active_objs,504
slabinfo.ext4_groupinfo_4k.num_objs,504
slabinfo.ext4_groupinfo_4k.active_slabs,18
slabinfo.ext4_groupinfo_4k.num_slabs,18
slabinfo.RAWv6.active_objs,84
slabinfo.RAWv6.num_objs,84
slabinfo.RAWv6.active_slabs,3
slabinfo.RAWv6.num_slabs,3
slabinfo.UDPv6.active_objs,100
slabinfo.UDPv6.num_objs,100
slabinfo.UDPv6.active_slabs,4
slabinfo.UDPv6.num_slabs,4
slabinfo.TCPv6.active_objs,52
slabinfo.TCPv6.num_objs,52
slabinfo.TCPv6.active_slabs,4
slabinfo.TCPv6.num_slabs,4
slabinfo.scsi_sense_cache.active_objs,160
slabinfo.scsi_sense_cache.num_objs,160
slabinfo.scsi_sense_cache.active_slabs,5
slabinfo.scsi_sense_cache.num_slabs,5
slabinfo.mqueue_inode_cache.active_objs,18
slabinfo.mqueue_inode_cache.num_objs,18
slabinfo.mqueue_inode_cache.active_slabs,1
slabinfo.mqueue_inode_cache.num_slabs,1
slabinfo.fuse_request.active_objs,40
slabinfo.fuse_request.num_objs,40
slabinfo.fuse_request.active_slabs,2
slabinfo.fuse_request.num_slabs,2
slabinfo.fuse_inode.active_objs,21
slabinfo.fuse_inode.num_objs,21
slabinfo.fuse_inode.active_slabs,1
slabinfo.fuse_inode.num_slabs,1
slabinfo.ecryptfs_headers.active_objs,8
slabinfo.ecryptfs_headers.num_objs,8
slabinfo.ecryptfs_headers.active_slabs,1
slabinfo.ecryptfs_headers.num_slabs,1
slabinfo.ecryptfs_dentry_info_cache.active_objs,128
slabinfo.ecryptfs_dentry_info_cache.num_objs,128
slabinfo.ecryptfs_dentry_info_cache.active_slabs,1
slabinfo.ecryptfs_dentry_info_cache.num_slabs,1
slabinfo.squashfs_inode_cache.active_objs,15180
slabinfo.squashfs_inode_cache.num_objs,15180
slabinfo.squashfs_inode_cache.active_slabs,660
slabinfo.squashfs_inode_cache.num_slabs,660
slabinfo.jbd2_journal_head.active_objs,1582
slabinfo.jbd2_journal_head.num_objs,1582
slabinfo.jbd2_journal_head.active_slabs,46
slabinfo.jbd2_journal_head.num_slabs,46
slabinfo.jbd2_revoke_table_s.active_objs,768
slabinfo.jbd2_revoke_table_s.num_objs,768
slabinfo.jbd2_revoke_table_s.active_slabs,3
slabinfo.jbd2_revoke_table_s.num_slabs,3
slabinfo.ext4_inode_cache.active_objs,236781
slabinfo.ext4_inode_cache.num_objs,236794
slabinfo.ext4_inode_cache.active_slabs,7893
slabinfo.ext4_inode_cache.num_slabs,7893
slabinfo.ext4_allocation_context.active_objs,128
